budget_x,country,date_x,genre,names,orig_lang,orig_title,Sum of Profit/Loss,revenue,score,status
1,AU,04-06-2023,"Drama, Thriller",DADDY OWL!!!, English, Beneath Us,0,1,0, Released
1,JP,01-08-1972,"",Onsen porno chitai, Japanese, 温泉ポルノ痴帯,23580102.6,23580103.6,60, Released
1,US,02-01-2019,"Horror, Drama, Thriller",Down, English,Down,257720412.2,257720413.2,69, Released
100,GB,03/14/2017,"Drama, Romance",Picture of Beauty, English,Picture of Beauty,2264758.8,2264858.8,45, Released
100,NL,04-06-2023,"",De man uit Rome," Dutch, Flemish",De man uit Rome,1240161.6,1240261.6,0, Released
100,US,04-06-2023,"Adventure, Fantasy, Family, Action",Luigi's Mansion: A Nintendo Fan Film, English, Luigi’s Mansion: A Nintendo Fan Film,1240161.6,1240261.6,0, Released
100,US,04-07-2023,"",Excuse Me, English,Excuse Me,1240161.6,1240261.6,0, Released
10000,US,08-12-2022,"Action, Science Fiction, Thriller, Horror",Shark Side of the Moon, English,Shark Side of the Moon,17877093.8,17887093.8,53, Released
10000,US,11/21/2019,"Horror, Comedy",Benny Loves You, English,Benny Loves You,79413925,79423925,61, Released
10000,US,11-06-2009,"Comedy, Horror",Porn Star Zombies, English,Porn Star Zombies,10791445.6,10801445.6,56, Released
100000,AU,01-01-1980,"Fantasy, Horror",Eraserhead, English,Eraserhead,6997971,7097971,74, Released
100000,AU,02/14/2023,"Horror, Thriller",Winnie the Pooh: Blood and Honey, English,Winnie the Pooh: Blood and Honey,3100000,3200000,58, Released
100000,AU,04/24/2017,"Drama, Fantasy",A Ghost Story, English,A Ghost Story,2669782,2769782,71, Released
100000,AU,07-01-1973,"Drama, Action, Thriller",Fist of Fury, Chinese, 精武門,70404268.4,70504268.4,73, Released
100000,ES,11/30/2022,Horror,Matando el tiempo," Spanish, Castilian",Matando el tiempo,98900630,99000630,60, Released
100000,HK,10/23/1971,Action,The Big Boss, Chinese, 唐山大兄,116917287.6,117017287.6,72, Released
100000,IT,02-07-1980,Horror,Cannibal Holocaust, Italian,Cannibal Holocaust,183751589.4,183851589.4,63, Released
100000,US,07-10-2015,"Horror, Thriller",The Gallows, English,The Gallows,41556474,41656474,50, Released
100000,US,09/29/2006,Drama,Facing the Giants, English,Facing the Giants,10143159,10243159,75, Released
100000,US,11/15/2011,Animation,Assassin's Creed: Embers, English,Assassin's Creed: Embers,225115697.2,225215697.2,69, Released
1000000,AU,01/23/2018,"Thriller, Action, Animation, Science Fiction",Batman: Gotham by Gaslight, English,Batman: Gotham by Gaslight,2469151,3469151,67, Released
1000000,AU,02/23/2023,"Drama, Mystery, Thriller",Missing, English,Missing,44013424,45013424,77, Released
1000000,AU,02-09-2018,"Horror, Thriller, Mystery",The Ritual, English,The Ritual,786396,1786396,62, Released
1000000,AU,03/16/2023,Horror,Pearl, English,Pearl,8423445,9423445,74, Released
1000000,AU,03/17/1977,"Drama, Romance",Rocky, English,Rocky,224000000,225000000,78, Released
1000000,AU,03/24/2022,"Horror, Mystery, Thriller",X, English,X,14113105,15113105,68, Released
1000000,AU,03-08-2006,"Drama, Romance",Loving Annabelle, English,Loving Annabelle,-994618,5382,65, Released
1000000,AU,04/30/2015,"Horror, Thriller, Mystery",Unfriended, English,Unfriended,63364198,64364198,55, Released
1000000,AU,05/24/2012,"Horror, Thriller",Chernobyl Diaries, English,Chernobyl Diaries,41411721,42411721,52, Released
1000000,AU,05-06-1963,"Adventure, Action, Thriller",Dr. No, English,Dr. No,58567035,59567035,70, Released
1000000,AU,06/23/1955,"Thriller, Mystery",Rear Window, English,Rear Window,36034514,37034514,84, Released
1000000,AU,07-03-1986,Action,American Ninja, English,American Ninja,9499694,10499694,59, Released
1000000,AU,07-08-2004,"Adventure, Animation, Fantasy",Nausicaä of the Valley of the Wind, Japanese, 風の谷のナウシカ,2301446,3301446,79, Released
1000000,AU,08/25/2022,"Horror, Thriller",The Invitation, English,The Invitation,-645164,354836,64, Released
1000000,AU,08-01-1985,"Comedy, Drama",The Breakfast Club, English,The Breakfast Club,50525171,51525171,78, Released
1000000,AU,08-07-2015,"Thriller, Horror",The Invitation, English,The Invitation,-645164,354836,65, Released
1000000,AU,08-09-2017,"Science Fiction, Horror, Thriller",The Endless, English,The Endless,-43575,956425,63, Released
1000000,AU,08-09-2018,"Horror, Thriller, Mystery",Unfriended: Dark Web, English,Unfriended: Dark Web,15434588,16434588,63, Released
1000000,AU,09/15/2014,"Science Fiction, Drama",I Origins, English,I Origins,-147601,852399,76, Released
1000000,AU,09-09-2013,"Horror, Action, Comedy, TV Movie, Science Fiction, Adventure",Sharknado, English,Sharknado,240261.6000000001,1240261.6,39, Released
1000000,AU,10/22/1987,"Horror, Thriller",Hellraiser, English,Hellraiser,13575148,14575148,69, Released
1000000,AU,10-08-2022,"Horror, Mystery",Hellraiser, English,Hellraiser,13575148,14575148,64, Released
1000000,AU,11/23/2011,"Action, Thriller, Romance",X, English,X,14113105,15113105,65, Released
1000000,AU,12/16/2010,"Drama, Romance",Blue Valentine, English,Blue Valentine,15566240,16566240,69, Released
1000000,CA,09-08-2013,"Horror, Thriller, Adventure",The Green Inferno, English,The Green Inferno,11931420,12931420,57, Released
1000000,IT,05-01-1988,"Adventure, Comedy",The Green Inferno, Italian, Paradiso Infernale,11931420,12931420,47, Released
1000000,KR,08-10-2016,"Thriller, Drama, Action",Tunnel, Korean, 터널,21418385.8,22418385.8,73, Released
1000000,UA,08/24/2022,"War, Drama",Sniper: The White Raven, Ukrainian, Снайпер. Білий ворон,101414815.2,102414815.2,76, Released
1000000,US,01/28/2010,"Thriller, Horror",The Final, English,The Final,19349255,20349255,60, Released
1000000,US,01-06-2012,"Thriller, Horror",The Devil Inside, English,The Devil Inside,100759490,101759490,47, Released
1000000,US,01-08-1993,"Horror, Comedy, Fantasy",Leprechaun, English,Leprechaun,7556940,8556940,56, Released
1000000,US,02/20/1952,"Adventure, Romance",The African Queen, English,The African Queen,9750000,10750000,74, Released
1000000,US,02/20/2003,Horror,Demon Slayer, English,Demon Slayer,49056423.4,50056423.4,78, Released
1000000,US,02-12-2002,"Drama, Thriller",Sexual Predator, English,Sexual Predator,22335679.6,23335679.6,48, Released
1000000,US,03/13/1981,Horror,The Howling, English,The Howling,16985130,17985130,66, Released
1000000,US,03-12-2016,"Horror, Thriller",Hush, English,Hush,-1000000,0,67, Released
1000000,US,04/22/2022,Action,Lord of the Streets, English,Lord of the Streets,21790427.2,22790427.2,52, Released
1000000,US,05/17/2016,"Action, Horror, Science Fiction",Cyborg X, English,Cyborg X,50647856.4,51647856.4,58, Released
1000000,US,05-09-2014,Drama,Palo Alto, English,Palo Alto,156309,1156309,61, Released
1000000,US,06/16/2012,"Horror, Science Fiction, Comedy",Piranhaconda, English,Piranhaconda,7663341.800000001,8663341.8,51, Released
